Apalachicola,29.7167,-85.0167
Atlantic Beach,30.3333,-81.4
Avon Park,27.65,-81.3333
Bartow,27.95,-81.7833
Belle Glade,26.65,-80.65
Boca Raton,26.3667,-80.1
Brandon,27.9333,-82.2833
Brooksville,28.4667,-82.45
Clearwater,27.9667,-82.8
Clermont,28.55,-81.7667
Cocoa,28.2333,-80.6
Crestview,30.7667,-86.5167
Cross City,29.55,-83.1
Daytona Beach,29.1833,-81.05
Delray Beach,26.4667,-80.0667
Destin,30.4,-86.5
Edgewater,28.9833,-80.9
Fort Lauderdale,26.0667,-80.15
Fort Myers,26.5833,-81.8667
Fort Pierce,27.4667,-80.35
Fort Walton Beach,30.4,-86.6167
Gainesville,29.6833,-82.2667
Hallandale Beach,25.9833,-80.15
Hollywood,26.0167,-80.15
Homestead,25.4833,-80.3833
Islamorada,24.95,-80.5833
Jacksonville,30.5,-81.7
John F. Kennedy Space Center,28.4,-80.6
Kendall,25.6333,-80.4333
Key West,24.55,-81.75
Kissimmee,28.3,-81.4
Lady Lake,28.9167,-81.9167
Lakeland,28.0333,-81.95
Leesburg,28.8167,-81.8
Marathon,24.7167,-81.0333
Marianna,30.8333,-85.1833
Melbourne,28.1,-80.6333
Miami,25.8,-80.2667
Milton,30.6333,-87.0333
Naples,26.15,-81.7667
New Port Richey,28.1833,-82.6167
Ocala,29.1833,-82.1333
Orange Park,30.1667,-81.7
Orlando,28.55,-81.3833
Palm Harbor,28.0833,-82.7667
Panama City,30.2,-85.6833
Pensacola,30.4167,-87.2167
Perry,30.0667,-83.5667
Plant City,28.0167,-82.1167
Pompano Beach,26.2333,-80.1
Port Saint Lucie,27.3,-80.35
Punta Gorda,26.9167,-81.9833
Quincy,30.5833,-84.5833
Sanford,28.8,-81.2667
Sarasota,27.3833,-82.55
St. Augustine,29.9,-81.3167
St. Petersburg,27.7667,-82.3333
Stuart,27.1667,-80.2167
Tallahassee,30.3833,-84.3667
Tampa,27.9667,-82.5333
Tavernier,25,-80.5167
Titusville,28.5167,-80.8
Valparaiso,30.4833,-86.5167
Venice,27.0833,-82.45
Vero Beach,27.65,-80.4167
West Palm Beach,26.6833,-80.1
Winter Haven,28.05,-81.75
Winter Park,28.6,-81.3333
